"title","location","price","product_url"
"nice small room to rent in lambeth for &#163;70 a week","Camberwell, London","304.99","/p/single-room-flatshare/nice-small-room-to-rent-in-lambeth-for-&#163;70-a-week-/1147025492"
"Single room * Stepney Green Station * Bethnal Green* Inclusive Bills * Wifi*Cleaner*Professionals .","Bethnal Green, London","609.98","/p/single-room-flatshare/single-room-stepney-green-station-bethnal-green-inclusive-bills-wifi-cleaner-professionals-./1147024177"
"Large Single &#163;140 a Week Only!","Southwark, London","609.98","/p/single-room-flatshare/large-single-&#163;140-a-week-only-/1147021060"
"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","",""
"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","",""
"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","",""
"Single Room to let / House Share","Kilburn, London","650.0","/p/single-room-flatshare/single-room-to-let-house-share/1146064701"
"1 WEEK DEPOSIT ONLY-Spacious single room in Kilburn-ALL BILLS INCLUDED","Kilburn, London","653.55","/p/single-room-flatshare/1-week-deposit-only-spacious-single-room-in-kilburn-all-bills-included/1147020731"
"fantastic tiled single room !","Westminster, London","631.765","/p/single-room-flatshare/fantastic-tiled-single-room-/1147015004"
"Great deal!! Cheap and warm rooms in Mile End, Bethnal Green,Whitechapel and Shoreditch","Brick Lane, London","544.625","/p/single-room-flatshare/great-deal-cheap-and-warm-rooms-in-mile-end-bethnal-green-whitechapel-and-shoreditch/1147003732"
"Cheap and warm rooms zone 2, Bethnal Green, Mile End and Shoreditch","Brick Lane, London","544.625","/p/single-room-flatshare/cheap-and-warm-rooms-zone-2-bethnal-green-mile-end-and-shoreditch-/1147003566"
"Cozy Single Room Near Brick Lane: &#163;600pm - All Bills Included","Whitechapel, London","600.0","/p/single-room-flatshare/cozy-single-room-near-brick-lane-&#163;600pm-all-bills-included/1146994719"
"NEW FLAT BETHNAL GREEN! 2 SINGLES AND 1 DOUBLE! AVAILABLE NOW!","Hackney, London","435.7","/p/single-room-flatshare/new-flat-bethnal-green-2-singles-and-1-double-available-now-/1146991814"
"SINGLE ROOM IN KILBURN PARK","Kilburn, London","599.0","/p/single-room-flatshare/single-room-in-kilburn-park/1146976620"
"Bargain Single Room Available in Camden Now","Camden, London","522.84","/p/single-room-flatshare/bargain-single-room-available-in-camden-now/1146978588"
"Greatly Priced Single Room in Hammersmith","Hammersmith, London","479.27","/p/single-room-flatshare/greatly-priced-single-room-in-hammersmith/1146978495"
"Single studio all bills included wit wifi , with nice kitchenette nw6","Kilburn, London","780.0","/p/single-room-flatshare/single-studio-all-bills-included-wit-wifi-with-nice-kitchenette-nw6/1146971891"
"2 FABULOUS DOUBLE ROOMS NEAR ANGEL STATION, BRAND NEW 3BED FLAT WITH LIVING ROOM! MOVE IN JANUARY!","Angel, London","1102.321","/p/single-room-flatshare/2-fabulous-double-rooms-near-angel-station-brand-new-3bed-flat-with-living-room-move-in-january-/1146971135"
"SINGLE ROOM IS AVAILABLE IN SHEPHERD'S BUSH / NOTTING HILL FROM 02/01/2016","Notting Hill, London","653.55","/p/single-room-flatshare/single-room-is-available-in-shepherd-s-bush-notting-hill-from-02-01-2016/1146965036"
"MANY ROOMS IN ZONE 2,ALL WELL CONNECTED WITH THE CENTRE,BILLS INCLUDED,FREE WI-FI!","Tower Hamlets, London","522.84","/p/single-room-flatshare/many-rooms-in-zone-2-all-well-connected-with-the-centre-bills-included-free-wi-fi-/1146964740"
"AMAZING SINGLE ROOM IN KILBURN PARK - Mutrix Rd NW6 4QG","Kilburn, London","599.0","/p/single-room-flatshare/amazing-single-room-in-kilburn-park-mutrix-rd-nw6-4qg/1146962121"
"Available Now! Single Room 90 per week, all bill are included.","Whitechapel, London","392.13","/p/single-room-flatshare/available-now-single-room-90-per-week-all-bill-are-included.-/1146964190"
"EXCLUSIVE OFFER IN OLD STREET!! SUPER NICE ROOM IN FRIENDLY 3BED FLAT-SHARE, ZONE 1!!","Old Street, London","814.0","/p/single-room-flatshare/exclusive-offer-in-old-street-super-nice-room-in-friendly-3bed-flat-share-zone-1-/1146963831"
"****BEAUTIFUL SINGLE ROOM IF YOU DON'T TAKE THIS ROOM THEN I WILL!!****","Whitechapel, London","653.55","/p/single-room-flatshare/-beautiful-single-room-if-you-don-t-take-this-room-then-i-will-/1146961231"
"Single room in Suburb House","Whitechapel, London","718.905","/p/single-room-flatshare/single-room-in-suburb-house/1146959006"
"XXXXXXXX SINGLE ROOM IN SHEPHERDS BUSH , ZONE 2 XXXXXXXXX","Shepherds Bush, London","718.905","/p/single-room-flatshare/xxxxxxxx-single-room-in-shepherds-bush-zone-2-xxxxxxxxx/1146957321"
"Spare room to rent","Camden, London","","/p/single-room-flatshare/spare-room-to-rent/1146956984"
